,wearable_label_id,x_value,y_value,z_value,timest
2976,1,-92,89,-102,2019-07-09 08:40:48
2977,1,-95,-106,-100,2019-07-09 08:40:48
2978,1,-155,-78,-120,2019-07-09 08:40:48
2979,1,56,-27,-37,2019-07-09 08:40:48
2980,1,-74,22,-61,2019-07-09 08:40:48
2981,1,-169,17,-86,2019-07-09 08:40:48
2982,1,-46,189,-126,2019-07-09 08:40:48
2983,1,-170,40,-158,2019-07-09 08:40:48
2984,1,-131,-193,-138,2019-07-09 08:40:49
2985,1,-80,-81,-119,2019-07-09 08:40:49
2986,1,-167,-29,-79,2019-07-09 08:40:49
2987,1,-73,-91,-71,2019-07-09 08:40:49
2988,1,-116,-152,-42,2019-07-09 08:40:49
2989,1,-149,-111,-78,2019-07-09 08:40:49
2990,1,-63,-76,-126,2019-07-09 08:40:49
2991,1,-47,-51,-105,2019-07-09 08:40:49
2992,1,-98,-169,-150,2019-07-09 08:40:49
2993,1,-70,28,-85,2019-07-09 08:40:49
2994,1,-106,171,-141,2019-07-09 08:40:50
2995,1,-131,29,-104,2019-07-09 08:40:50
2996,1,-83,-6,-54,2019-07-09 08:40:50
2997,1,-63,78,-117,2019-07-09 08:40:50
2998,1,-47,55,-119,2019-07-09 08:40:50
2999,1,-6,-3,-69,2019-07-09 08:40:50
3000,1,-63,56,-64,2019-07-09 08:40:54
3001,1,-74,91,-66,2019-07-09 08:40:54
3002,1,-74,91,-66,2019-07-09 08:40:54
3003,1,-75,111,-97,2019-07-09 08:40:54
3004,1,-75,111,-97,2019-07-09 08:40:54
3005,1,-134,105,-61,2019-07-09 08:40:54
3006,1,-134,105,-61,2019-07-09 08:40:54
3007,1,-36,35,-56,2019-07-09 08:40:54
3008,1,-36,35,-56,2019-07-09 08:40:54
3009,1,-36,35,-56,2019-07-09 08:40:54
3010,1,-59,-26,-53,2019-07-09 08:40:54
3011,1,-59,-26,-53,2019-07-09 08:40:54
3012,1,-108,-63,-46,2019-07-09 08:40:54
3013,1,-108,-63,-46,2019-07-09 08:40:54
3014,1,-68,-78,-27,2019-07-09 08:40:54
3015,1,-68,-78,-27,2019-07-09 08:40:54
3016,1,-74,16,-56,2019-07-09 08:40:54
3017,1,-74,16,-56,2019-07-09 08:40:54
3018,1,-37,123,-43,2019-07-09 08:40:54
3019,1,-37,123,-43,2019-07-09 08:40:54
3020,1,-47,146,-36,2019-07-09 08:40:54
3021,1,-47,146,-36,2019-07-09 08:40:54
3022,1,-47,146,-36,2019-07-09 08:40:54
3023,1,-53,74,-29,2019-07-09 08:40:54
3024,1,-53,74,-29,2019-07-09 08:40:54
3025,1,-54,-23,-68,2019-07-09 08:40:54
3026,1,-54,-23,-68,2019-07-09 08:40:54
3027,1,-83,-132,-138,2019-07-09 08:40:54
3028,1,-83,-132,-138,2019-07-09 08:40:54
3029,1,-46,-148,-177,2019-07-09 08:40:54
3030,1,-46,-148,-177,2019-07-09 08:40:54
3031,1,-114,-42,-126,2019-07-09 08:40:54
3032,1,-114,-42,-126,2019-07-09 08:40:54
3033,1,-70,77,-82,2019-07-09 08:40:54
3034,1,-70,77,-82,2019-07-09 08:40:54
3035,1,-60,106,-90,2019-07-09 08:40:54
3036,1,-60,106,-90,2019-07-09 08:40:54
3037,1,-93,169,-116,2019-07-09 08:40:54
3038,1,-93,169,-116,2019-07-09 08:40:54
3039,1,-163,16,-111,2019-07-09 08:40:54
3040,1,-123,50,-88,2019-07-09 08:40:54
3041,1,5,-30,17,2019-07-09 08:40:54
3042,1,-26,-70,-12,2019-07-09 08:40:54
3043,1,-55,-145,1,2019-07-09 08:40:54
3044,1,-117,-158,-18,2019-07-09 08:40:55
3045,1,-161,-309,-117,2019-07-09 08:40:55
3046,1,-148,133,-114,2019-07-09 08:40:55
3047,1,-71,231,-234,2019-07-09 08:40:55
3048,1,-221,5,-182,2019-07-09 08:40:55
3049,1,-277,242,-233,2019-07-09 08:40:55
3050,1,-78,170,-134,2019-07-09 08:40:57
3051,1,-101,24,-113,2019-07-09 08:40:57
3052,1,-101,24,-113,2019-07-09 08:40:57
3053,1,-101,24,-113,2019-07-09 08:40:57
3054,1,-139,-89,-61,2019-07-09 08:40:57
3055,1,-139,-89,-61,2019-07-09 08:40:57
3056,1,-184,-27,-98,2019-07-09 08:40:57
3057,1,-184,-27,-98,2019-07-09 08:40:57
3058,1,-212,39,-59,2019-07-09 08:40:57
3059,1,-212,39,-59,2019-07-09 08:40:57
3060,1,-246,154,-52,2019-07-09 08:40:57
3061,1,-246,154,-52,2019-07-09 08:40:57
3062,1,-229,257,-65,2019-07-09 08:40:57
3063,1,-229,257,-65,2019-07-09 08:40:57
3064,1,-250,248,-78,2019-07-09 08:40:57
3065,1,-250,248,-78,2019-07-09 08:40:57
3066,1,-250,248,-38,2019-07-09 08:40:57
3067,1,-250,180,-38,2019-07-09 08:40:57
3068,1,-250,180,-38,2019-07-09 08:40:57
3069,1,-221,88,-84,2019-07-09 08:40:57
3070,1,-166,162,-157,2019-07-09 08:40:57
3071,1,-19,-65,-167,2019-07-09 08:40:57
3072,1,-110,-44,-137,2019-07-09 08:40:57
3073,1,-128,44,-168,2019-07-09 08:40:57
3074,1,-117,7,-98,2019-07-09 08:40:58
3075,1,-122,-1,-110,2019-07-09 08:40:58
3076,1,-113,60,-88,2019-07-09 08:40:58
3077,1,-103,30,-62,2019-07-09 08:40:58
3078,1,-104,8,-75,2019-07-09 08:40:58
3079,1,-99,-1,-106,2019-07-09 08:40:58
3080,1,-149,23,-142,2019-07-09 08:40:58
3081,1,-63,41,-56,2019-07-09 08:40:58
3082,1,-204,-92,31,2019-07-09 08:40:58
3083,1,-210,-250,45,2019-07-09 08:40:58
3084,1,-549,-368,246,2019-07-09 08:40:59
3085,1,59,370,-192,2019-07-09 08:40:59
3086,1,48,89,-355,2019-07-09 08:40:59
3087,1,20,46,-404,2019-07-09 08:40:59
3088,1,104,-226,-336,2019-07-09 08:40:59
3089,1,72,-10,-234,2019-07-09 08:40:59
3090,1,-195,-308,-113,2019-07-09 08:40:59
3091,1,10,-65,-4,2019-07-09 08:40:59
3092,1,37,-36,145,2019-07-09 08:40:59
3093,1,-79,-259,-203,2019-07-09 08:40:59
3094,1,-282,57,-126,2019-07-09 08:41:00
3095,1,-229,41,-194,2019-07-09 08:41:00
3096,1,146,-135,-292,2019-07-09 08:41:00
3097,1,-70,307,-21,2019-07-09 08:41:00
